City,Community,Pincode,Active Registrations,Lat,Lon,,March-2024,April-2024,May-2024,June-2024,July-2024,August-2024,September-2024,October-2024,November-2024,December-2024,January-2025,February-2025,March-2025,April-2025,May-2025,June-2025,July-2025,August-2025,March-2024,April-2024,May-2024,June-2024,July-2024,August-2024,September-2024,October-2024,November-2024,December-2024,January-2025,February-2025,March-2025,April-2025,May-2025,June-2025,July-2025,August-2025
Chennai,C0068,600056,177,13.0359494,80.1182571,,122.8,127.4,134.1,198.4,123.2,160.6,129,170.4,114.9,142.6,175,133.1,109.1,154,157,141.2,229,150.7,38,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chennai,C0069,600010,15,13.0817523,80.2342765,,93.3,34.1,27.7,39.4,61.4,61.4,47.5,65.5,57.1,50,46.3,80.5,103.2,69.4,78.9,61.7,67.6,106.9,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,40,39,47
Chennai,C0070,600100,40,12.9481825,80.2035981,,108.8,93.9,70.1,96,88.4,86.7,53.5,117.1,83.9,60.2,79.2,58.2,78.3,57.6,64.3,63,114.1,99.1,43,37,39,28,22,28,17,33,22,33,17,28,33,39,22,24,23,28
Chennai,C0071,600031,14,13.071373,80.2416576,,46.8,79.7,59.5,57.7,48.3,85.7,70.1,54.7,85,92.9,97.9,75,72.6,44.5,90.7,79.3,80,91.4,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,37,39,47
Chennai,C0072,600078,45,13.0373806,80.1961564,,108.3,162.5,155.8,122,157.9,96.9,120,102.3,124.1,136.6,103.9,76.5,113.3,116.3,89.6,132.2,82.7,89.2,69,67,88,87,89,87,85,85,87,87,54,54,56,52,55,56,55,55
Chennai,C0073,600085,63,13.0192471,80.2466955,,93.3,125.5,138.7,113.2,152.2,116.1,185.9,134.1,137.6,151.2,138.9,123.9,143.9,77.3,74,102.6,64.3,81.9,45,48,52,44,51,52,54,52,48,51,52,42,48,47,47,45,47,47
Chennai,C0074,600100,29,12.9344514,80.186017,,59.3,92.2,121.1,72.5,71.2,113,62.9,87.9,92.4,63.5,107.1,67,61.7,66.3,91.9,73.5,87.8,76.2,60,53,34,31,41,31,38,31,31,31,31,31,28,25,19,17,19,22
Chennai,C0075,600100,22,12.92985,80.187591,,0,68.1,84.3,66,80.9,69.4,67.7,127.8,117.8,126.4,114.3,70.2,92.7,102.9,99.9,118.7,112.5,73.4,0,53,34,31,41,31,38,31,31,31,31,31,28,25,19,17,19,22
Chennai,C0076,600017,19,13.032056,80.2316191,,40.7,53.3,33.4,52.4,32.6,35.9,22.5,25.7,29.2,40.9,39.2,22.5,40.6,34.1,32.5,61.4,32.7,57.6,71,61,39,28,22,28,17,33,22,33,17,28,33,39,22,20,22,27
Chennai,C0077,600100,47,12.9306839,80.1876263,,80.9,55.8,91.6,76.2,57,65.7,52.6,78.7,71.1,49.7,76.1,56.9,57.5,51.1,52.3,85.6,64,55.2,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,37,39,47
Chennai,C0078,600125,49,13.0169775,80.1747336,,107.3,111.3,119.2,127.3,96.1,92.6,90.1,64.4,62.9,58.8,67.8,57,58.6,111.7,70.3,60.9,63.4,45.3,62,62,45,47,53,49,53,56,44,42,47,49,51,47,40,41,39,44
Chennai,C0079,600100,10,12.9286233,80.1872425,,35.3,36.6,68.8,37.8,38.8,49.2,28.9,38.8,37.9,41.7,56.4,35,38.2,42.5,20.6,45.7,44.4,33.5,56,56,57,63,7,50,60,64,59,63,65,61,62,64,59,57,59,60
Chennai,C0080,600006,11,13.0589648,80.2472479,,10.5,15.1,14.5,5.7,28,33.3,24.2,20.8,26,18.9,26.3,32.4,15.7,16.5,32.9,14.9,16.8,32.5,71,61,38,65,29,64,66,67,67,63,60,60,63,58,52,50,52,55
Chennai,C0081,600100,26,12.9329371,80.1885052,,61.8,48.7,80.2,91.3,62.4,63.2,36.5,38.2,53.1,46.2,49.7,51.8,46,44.6,63.4,57.3,64.7,29.8,62,62,45,47,53,49,53,56,44,42,47,49,51,47,40,42,40,44
Chennai,C0082,600100,6,12.9233222,80.1856695,,27.5,18.9,15.6,33.7,17.2,30.5,14.9,33.4,20.8,27,24.3,22.5,15.9,29.7,34,24.5,17.6,29.6,43,37,39,28,22,28,17,33,22,33,17,28,33,39,22,20,22,27
Chennai,C0083,600028,14,13.0294068,80.2463492,,29.9,63.1,24.9,37.2,56.5,39.8,40.6,27.5,35.4,32,28.9,32.6,35.8,35.2,30.3,25.3,65.9,28.9,43,37,39,28,22,28,17,33,22,33,17,28,33,39,22,23,21,28
Chennai,C0084,600107,39,13.0648085,80.20773,,40.4,30.6,20.6,17.8,26.3,45.9,36.2,23.3,22.3,30.8,25.9,16.6,34.1,21.3,15.1,42.8,23.2,20.7,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,41,39,47
Chennai,C0085,600093,7,13.0410013,80.1993919,,8.6,8.5,9.9,11.3,8,52.5,40.5,26.2,42.4,21.8,25.8,15.3,28.4,19,13.7,21.5,15,20.5,62,62,24,46,45,26,28,33,28,30,32,28,28,32,30,30,29,30
Chennai,C0086,600004,4,13.0451732,80.2727809,,15.4,18.4,27.1,18.8,22.9,11,16.7,15.2,17.3,20.6,14.8,17.6,17.2,22.6,17.9,18.8,19.8,18.9,44,43,53,51,48,48,48,44,46,42,38,38,40,47,29,27,29,34
Chennai,C0087,600041,9,12.9583928,80.2573349,,19.6,18.4,38.4,14.1,24.5,52.8,37.6,18.8,30.5,30,30,18.2,31.5,23.3,21.7,27,31.7,18.5,62,62,45,47,53,49,53,56,44,42,47,49,51,47,40,42,41,44
Chennai,C0088,600125,22,12.9991288,80.2082887,,40,21.5,29.1,28.8,25.5,25,50.1,45.8,20.7,33.2,66.5,40.9,50.2,64.6,43.7,57.3,40.1,13.6,71,61,38,65,29,64,66,67,67,63,60,60,63,58,52,54,52,56
Chennai,C0089,600015,5,13.0228853,80.2231987,,26,12.3,10.6,22.4,21.9,5.9,14.1,12.7,8.2,19.3,7.9,10.5,9.1,13.2,2.3,13.8,6.5,12.5,16,15,12,11,14,13,16,15,15,15,16,16,15,15,15,16,15,15
Chennai,C0090,600041,1,12.9830269,80.2594001,,6.1,6.4,13,6.4,7.1,5,6.3,8.5,6.4,10.8,12,5.3,9.3,7.3,3.6,12.9,6.8,12.2,32,32,17,22,18,18,16,20,16,23,49,49,49,51,51,49,51,50
Chennai,C0091,600125,1,13.0129745,80.1735565,,22.6,13.6,3.6,0,16.4,12.8,16.8,15.6,11.8,13.9,16.9,12.8,19.3,21.4,12.5,14.7,20.5,12,38,50,55,0,48,52,44,48,52,49,45,47,47,42,43,44,42,44
Chennai,C0092,600094,9,13.0655622,80.2241114,,24.9,20.9,25.6,20.7,42.7,36.9,26.8,17.8,53.6,35.1,32.5,25.7,22.2,40.6,30.7,22.3,19.4,10.9,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,37,39,47
Chennai,C0093,600125,3,13.0197105,80.1736304,,5,5.2,6.6,8.1,6.8,8.2,5.9,14,6.1,7.2,8.6,5.2,8.2,9.2,0,7.2,10.1,5.5,56,63,58,53,53,56,63,58,58,49,49,49,49,51,0,53,51,51
